sample,timestamp_py,sensor_id_py,q0_py,q1_py,q2_py,q3_py,timestamp_c,sensor_id_c,q0_c,q1_c,q2_c,q3_c,quat_distance
23,2141894975,1,0.998869068204321,-0.046402439460648,-0.010193720401775,0.001867153208188,2141894975,1,0.998812913894653,-0.04736365377903,-0.011227727867663,0.001829093554989,1.0187939593064854e-06
24,2241895475,1,0.998843213508382,-0.046854436463244,-0.010634032960436,0.001952934959891,2241895475,1,0.998777508735657,-0.047959063202143,-0.011821899563074,0.001909172278829,1.3257560423918235e-06
25,2321895875,1,0.998817926057808,-0.047289910114482,-0.011057928956545,0.00203400937469,2321895875,1,0.998741388320923,-0.048554372042418,-0.012416317127645,0.001983929425478,1.7318758992468375e-06
26,2401896275,1,0.998793166736727,-0.04770968772118,-0.011468225342468,0.002115557860649,2401896275,1,0.998704552650452,-0.04914964735508,-0.01301072537899,0.002058685291559,2.2376985853167497e-06
27,2481896675,1,0.998769152847849,-0.04811147483756,-0.011858954689912,0.002197840350688,2481896675,1,0.998667001724243,-0.049744889140129,-0.01360512431711,0.002133439760655,2.8732157950628334e-06
28,2561897075,1,0.998745964773302,-0.048494456439521,-0.012230426888802,0.002280833575338,2561897075,1,0.998628735542297,-0.050340093672276,-0.014199513942003,0.002208192599937,3.6619537673310276e-06
29,2641897775,1,0.998722862662626,-0.04887073447682,-0.012597663825169,0.002365115814148,2641897775,1,0.998588740825653,-0.050951182842255,-0.014809885062277,0.002283521229401,4.60166649751681e-06
30,2721898175,1,0.998700456277708,-0.049231479375095,-0.012948186898498,0.00245041328729,2721898175,1,0.998547554016113,-0.051567543298006,-0.01542557682842,0.002359040779993,5.841868154554675e-06
31,2801898575,1,0.998679303692922,-0.049567982407326,-0.013275651305605,0.002533885928821,2801898575,1,0.998505711555481,-0.052183818072081,-0.016041394323111,0.002431899076328,7.242561883336052e-06
32,2911899125,1,0.998660169538226,-0.049869566748737,-0.013567621511076,0.002609930402789,2911899125,1,0.998463809490204,-0.052789319306612,-0.016646953299642,0.002496392931789,9.007280456385658e-06
33,2991899525,1,0.998642522988059,-0.050145001802006,-0.013833673714241,0.002686921265887,2991899525,1,0.998421132564545,-0.05339477956295,-0.017252501100302,0.002560884691775,1.1173487231674883e-05
34,3071899950,1,0.998625801982409,-0.050403353809706,-0.014082031097099,0.002775957475432,3071899950,1,0.998376965522766,-0.05401099100709,-0.01786812953651,0.002636395627633,1.3728956789860192e-05
35,3151900325,1,0.998610857514113,-0.050632240067414,-0.014300949077336,0.002866073301716,3151900325,1,0.998332023620605,-0.054627161473036,-0.018483743071556,0.002711904700845,1.6798668438844366e-05
