py_sample,py_timestamp,py_sensor_id,py_q0,py_q1,py_q2,py_q3,mat_sample,mat_timestamp,mat_sensor_id,mat_q0,mat_q1,mat_q2,mat_q3,distance
770,66592219525,1,0.975031622788653,-0.160389809309033,-0.135662155065312,0.072001550781723,768,66592219525,1,0.355994361216895,-0.012005154886598,-0.041968956306447,0.933467995029541,0.578063993470487
771,66672219925,1,0.975022709904871,-0.16038146551429,-0.135674615368211,0.072117261691897,769,66672219925,1,0.364104366099388,-0.012009993255439,-0.042824542713935,0.930295560126302,0.5701632222369843
772,66752220325,1,0.9750147651973,-0.160371406670981,-0.135679001654735,0.072238688246666,770,66752220325,1,0.37369137862147,-0.011899030473797,-0.043968140960262,0.926434006931021,0.5608471930841257
773,66832220725,1,0.975005926090291,-0.160358660160209,-0.135694419496222,0.072357229894602,771,66832220725,1,0.385139919413375,-0.011545235319698,-0.04560299781475,0.921658459846151,0.5497581923517685
774,66912221125,1,0.974995060756573,-0.160356708609925,-0.135709944786318,0.072478744402568,772,66912221125,1,0.401080247968356,-0.010723817351973,-0.048229561578223,0.914709540685466,0.5343868730687538
775,66992221525,1,0.97498410579549,-0.160353845464867,-0.135727434661153,0.072599594841159,773,66992221525,1,0.436019802009765,-0.008438822905121,-0.054116863831408,0.898268825893671,0.5009753296062815
776,67102222075,1,0.974972143031254,-0.160356980125249,-0.135748224530783,0.072714364295466,774,67102222075,1,0.961572657175612,0.033325502034765,-0.128521087689342,0.240311809750398,0.03291679267340264
777,67182222475,1,0.974958876413937,-0.160362032666285,-0.135778153270549,0.072825139033507,775,67182222475,1,0.670436470940006,-0.000910722155858,-0.034216545698127,0.741176994394155,0.28758378927791883
778,67262222875,1,0.974945224299347,-0.160363929058733,-0.135811295483525,0.072941839103688,776,67262222875,1,0.633896975459044,0.001098720159305,-0.045282828744686,0.77208994472067,0.3196937860037221
779,67342223275,1,0.97493135167912,-0.160370078669221,-0.13583830339518,0.073063347250665,777,67342223275,1,0.593037114217942,0.001007734931512,-0.043635779563538,0.803991221576608,0.35732143509808634
780,67422223675,1,0.974917637483901,-0.160385197935448,-0.135852300583017,0.073187026393468,778,67422223675,1,0.555495656713298,0.001059322500199,-0.041780446266912,0.830468450645923,0.3921519002122644
781,67502224075,1,0.974907648441043,-0.160379833329272,-0.135870794912734,0.073297429437956,779,67502224075,1,0.519130818988814,0.00139765095791,-0.040321984808349,0.853741984963208,0.42606387602459406
782,67582224450,1,0.974897469277202,-0.160377253399191,-0.135886572351571,0.073409130519168,780,67582224450,1,0.485624996121045,0.001992378348949,-0.039365592106328,0.873278159425202,0.4574291066664762
783,67662224850,1,0.974884308428443,-0.160375624624496,-0.135924899159247,0.073516433501957,781,67662224850,1,0.454411160670655,0.002820824729477,-0.038854900142983,0.889939793885335,0.4867475333536744
784,67762225375,1,0.97487097244074,-0.160382179646037,-0.135952219781361,0.073628374156655,782,67762225375,1,0.421539842480028,0.00391239867062,-0.038541959395954,0.905981993035444,0.5177346767684083
785,67842225775,1,0.974858294026705,-0.160388902411811,-0.135976814551965,0.073736100078439,783,67842225775,1,0.385035935362448,0.005313953762611,-0.038345039325493,0.922089338586072,0.552291516072445
786,67922226175,1,0.974845636011032,-0.160392569799916,-0.136008706597713,0.073836584650446,784,67922226175,1,0.344465379866672,0.007041025618891,-0.038250455038626,0.937993032341329,0.5908681590225568
787,68002226575,1,0.974833074514288,-0.160396684887276,-0.136039023423401,0.073937571073175,785,68002226575,1,0.300109135388123,0.009060538432322,-0.038242517983769,0.953094918315154,0.6332249711254372
788,68082225675,1,0.974817365726761,-0.16040695135154,-0.136085413148747,0.074036975652556,786,68082225675,1,0.255710307274984,0.011180087886532,-0.038379757116495,0.965926621763714,0.6757853048053177
789,68162227375,1,0.974801705623153,-0.160420238793234,-0.136126798368951,0.074138225400479,787,68162227375,1,0.214906265461721,0.013214775807278,-0.038731936322916,0.975776871971424,0.7150141032083545
790,68242227775,1,0.974784883992756,-0.160438324371637,-0.136170234420099,0.074240428810903,788,68242227775,1,0.194706658419389,0.014500714486039,-0.039704557547185,0.979950302085025,0.7343708533454576
791,68352228325,1,0.974766161557573,-0.160460126031949,-0.136223402228692,0.074341528914646,789,68352228325,1,0.226960121506568,0.013861331640293,-0.041998169893878,0.972899337267966,0.7029431867515052
792,68432228725,1,0.974745583201842,-0.160485745907829,-0.13628759206531,0.074438334465168,790,68432228725,1,0.361038946866431,0.009309006696957,-0.046189705000387,0.931359614967211,0.5739489018625349
793,68512229100,1,0.9747277046388,-0.160506226698183,-0.136341593083652,0.074529343188431,791,68512229100,1,0.677853208649274,-0.003994964937542,-0.050394050204042,0.73345722948449,0.27710159044628924
794,68592229525,1,0.974709374555864,-0.160527480303069,-0.136398083885667,0.074619876258151,792,68592229525,1,0.644355169275945,-0.035397663445643,0.007204367669242,-0.76387271082062,0.424241427345766
795,68672229925,1,0.974689863586415,-0.160559060289204,-0.136453005883302,0.074706326146828,793,68672229925,1,0.477469418370829,-0.03406470684195,0.017637736948472,-0.877810606283457,0.5971307280936359
796,68752230325,1,0.974669307874363,-0.160588218390993,-0.136521422795574,0.074786800436903,794,68752230325,1,0.309268881676208,-0.028303195216125,0.027439166069404,-0.950157239688632,0.7688252073154336
797,68832230725,1,0.974651959541145,-0.160603346050915,-0.136583927137497,0.074866239704926,795,68832230725,1,0.195291663440845,0.022336559633682,-0.043133433391127,0.979541602596915,0.734019993617314
798,68912230600,1,0.974628635049946,-0.160641944884603,-0.136660204466071,0.074947833855705,796,68912230600,1,0.876597618055012,-0.024154865979207,-0.010371353055858,-0.48050556032745,0.17635807505064371
799,69082232425,1,0.974609282806306,-0.160663213582711,-0.136730058875843,0.075026453127299,797,69082232425,1,0.347521629648841,-0.023121747658354,0.026169036603349,-0.937021495609727,0.7314668727209596
800,69162232375,1,0.974590040453874,-0.160687965189238,-0.136793739821018,0.075107280853708,798,69162232375,1,0.411919520618978,-0.023604222595083,0.022888554479329,-0.910626851834801,0.666280140917541
801,69242232775,1,0.974571872614533,-0.160710371111149,-0.136843639933006,0.075204121800634,799,69242232775,1,0.416462685388633,-0.023511068316194,0.022736973187204,-0.908564302290049,0.6617878989375328
802,69322233175,1,0.974565840870781,-0.160691401835565,-0.136848316576863,0.075314231284843,800,69322233175,1,0.421460830841335,-0.023646786583243,0.02251287876108,-0.906258664974138,0.6567938599695566
803,69402233575,1,0.974559454901472,-0.160674193616895,-0.136853166512439,0.075424685502987,801,69402233575,1,0.433698420132356,-0.024186379067294,0.021835283561446,-0.900468722296395,0.6443547750125946
804,69482233975,1,0.974551902603531,-0.160662537678637,-0.136858762666678,0.07553685987545,802,69482233975,1,0.457733493529924,-0.025257956451718,0.020375864489558,-0.888496994189107,0.6197598341670679
805,69592234525,1,0.974542401596367,-0.160654710239671,-0.136874432333326,0.075647612930103,803,69592234525,1,0.50829679290105,-0.027268275158929,0.017059360351685,-0.860581076785189,0.5676983403338101
806,69672234925,1,0.974533287053981,-0.160642090955461,-0.136893887007176,0.075756549137927,804,69672234925,1,0.64440777786986,-0.031747228240081,0.006964698748513,-0.763990983121689,0.42573397404011615
807,69752235325,1,0.97452403295376,-0.160633693305993,-0.136908090609173,0.075867651183919,805,69752235325,1,0.947760443118704,-0.030742444667226,-0.054647466429459,0.312759810346793,0.04023636578854106
808,69832235725,1,0.974511152181338,-0.160642831060473,-0.136924485684127,0.075984079406251,806,69832235725,1,0.329423553561717,-0.023325001003537,0.028958075887944,-0.943449784846986,0.7508783120821864
809,69912236125,1,0.974500972557171,-0.160635496886995,-0.13693834975184,0.076105058913572,807,69912236125,1,0.244125301379956,-0.022502803516648,0.033357214738287,-0.968908539174333,0.8367916307494776
810,69992236525,1,0.974490000132148,-0.160632222640656,-0.13695253407862,0.076226846329979,808,69992236525,1,0.216408346551345,-0.024331610820701,0.033740403329701,-0.97541631390957,0.8641775328190018
811,70072236925,1,0.974476912388915,-0.160630944232798,-0.136984648308425,0.076339066693697,809,70072236925,1,0.136731544448071,-0.026860856468966,0.034565370988583,-0.989640446965978,0.9427267352748016
812,70152237325,1,0.974460558677413,-0.160644562184585,-0.137022578541071,0.076451011717202,810,70152237325,1,0.446940655076862,0.023482941466711,-0.036826370440163,0.893496737956967,0.4948915925900286
813,70262237875,1,0.974445718191065,-0.160657779275839,-0.137049252228202,0.076564500396371,811,70262237875,1,0.159434245242695,-0.020111672654045,0.043739168848927,-0.986034039562202,0.9228985097208342
814,70342238275,1,0.974436009564539,-0.160650300057581,-0.137065038702591,0.076675416665344,812,70342238275,1,0.427298930272875,-0.03034540903366,0.033460957558085,-0.902981253768611,0.6525723277435036
815,70422238650,1,0.974425835431355,-0.160645357983653,-0.137080744398475,0.076786911107105,813,70422238650,1,0.575062985310338,-0.033624748921782,0.025769685416872,-0.817011543675746,0.5005104307232422
816,70502239075,1,0.974411336960895,-0.160651556181733,-0.137120250546293,0.076887325279204,814,70502239075,1,0.619198956425031,-0.034479677642406,0.023844485872806,-0.784114305879755,0.45466431672447827
817,70582239475,1,0.974395760346724,-0.160663692282262,-0.137159681865911,0.076988972398659,815,70582239475,1,0.644340561779842,-0.035214577874275,0.023156590861523,-0.763576418081416,0.42846269869045595
818,70662239875,1,0.974381348503406,-0.160671750139246,-0.137195498970182,0.077090670370672,816,70662239875,1,0.658966882836901,-0.035875871404277,0.022938599754345,-0.750965638239535,0.4131902381521987
819,70742240250,1,0.974366097273602,-0.160682157066224,-0.137234625194483,0.077192036714187,817,70742240250,1,0.656169275174757,-0.036328159141503,0.023632093481616,-0.753368217625153,0.4162107858297549
820,70822240675,1,0.974351063746412,-0.160691883824143,-0.137272864236027,0.077293491276571,818,70822240675,1,0.624874520215331,-0.036350864698297,0.025853236726281,-0.779449843653921,0.44910690513933527
821,70922241175,1,0.974332274613938,-0.160710215383446,-0.137328377911164,0.077393552298135,819,70922241175,1,0.537639890345323,-0.035295086502083,0.030703792535025,-0.841875811686169,0.5398600834477505
822,71002241575,1,0.974314118803009,-0.160729116147516,-0.137377705783152,0.077495258418249,820,71002241575,1,0.288365879468264,-0.02985867908148,0.040933852913833,-0.956178852792527,0.7939646192483143
823,71082241975,1,0.974297702046925,-0.160742473702855,-0.137425629281902,0.077588925436832,821,71082241975,1,0.826146126465195,-0.016393818888242,-0.041612055312345,0.56167807263725,0.14315398344409203
824,71162242375,1,0.974280333746931,-0.160759347241476,-0.13747763498192,0.077679877885085,822,71162242375,1,0.106451676813496,0.017565173676036,-0.058002726962699,0.992469238234726,0.8140410236844586
825,71242242750,1,0.974260263110895,-0.16079166870952,-0.13752863370911,0.077774378215472,823,71242242750,1,0.304656717864027,0.012657352228224,-0.078456876550311,0.949140976998074,0.6206113463196122
826,71322243175,1,0.97424002377503,-0.160817293986097,-0.137590382277261,0.077865658249427,824,71322243175,1,0.684582351233186,-0.025725766509155,-0.049876366115306,-0.726771998236512,0.37864339746242637
827,71402243575,1,0.974219308454676,-0.160845972772541,-0.137651356914614,0.077957783553111,825,71402243575,1,0.005205170046869,0.014353058702854,-0.028254384385417,0.999484159791268,0.9154308303826618
