sample_idx,timestamp,sensor_id,sensor_data,q0,q1,q2,q3
766,5561913475,1,[-58;-58;4],0.9968003034591675,-0.0715210214257240,-0.0353698544204235,0.0047833807766438
778,5641913875,1,[-58;-58;5],0.9967336654663086,-0.0721356347203255,-0.0359852612018585,0.0048535005189478
790,5721914275,1,[-58;-58;5],0.9966661930084229,-0.0727503746747971,-0.0366002582013607,0.0049289255402982
802,5801914675,1,[-58;-58;5],0.9965980052947998,-0.0733650624752045,-0.0372152253985405,0.0050043473020196
814,5881915050,1,[-58;-58;4],0.9965290427207947,-0.0739793032407761,-0.0378309488296509,0.0050691482611001
826,5961915475,1,[-58;-58;4],0.9964593648910522,-0.0745934844017029,-0.0384466424584389,0.0051339454948902
838,6071916025,1,[-58;-58;4],0.9963889718055725,-0.0752076059579849,-0.0390623062849045,0.0051987385377288
850,6151916425,1,[-58;-58;4],0.9963177442550659,-0.0758216679096222,-0.0396779365837574,0.0052635278552771
862,6231916825,1,[-59;-59;4],0.9962454438209534,-0.0764383152127266,-0.0402962081134319,0.0053284089080989
874,6311917225,1,[-59;-59;4],0.9961714744567871,-0.0770628154277802,-0.0409224480390549,0.0053935749456286
886,6481920500,1,[-60;-60;3],0.9960963726043701,-0.0776897892355919,-0.0415515340864658,0.0054561803117394
898,6561918475,1,[-60;-60;3],0.9960196018218994,-0.0783242806792259,-0.0421892032027245,0.0055111106485128
910,6641918875,1,[-56;-56;6],0.9959444999694824,-0.0789382830262184,-0.0428042449057102,0.0055811824277043
922,6741919375,1,[-56;-56;6],0.9958711266517639,-0.0795318111777306,-0.0433966591954231,0.0056663951836526
934,6821919775,1,[-55;-55;6],0.9957973957061768,-0.0801226422190666,-0.0439863763749599,0.0057515078224242
946,6901920175,1,[-55;-55;6],0.9957239627838135,-0.0807055011391640,-0.0445680618286133,0.0058363280259073
958,6981920575,1,[-55;-55;6],0.9956498742103577,-0.0812883153557777,-0.0451497137546539,0.0059211440384388
970,7061920975,1,[-56;-56;6],0.9955740571022034,-0.0818789750337601,-0.0457393378019333,0.0060062441043556
982,7141921375,1,[-56;-56;6],0.9954971671104431,-0.0824722126126289,-0.0463315993547440,0.0060914368368685
994,7221921775,1,[-56;-56;6],0.9954195618629456,-0.0830653905868530,-0.0469238236546516,0.0061766249127686
1006,7301922175,1,[-56;-56;6],0.9953413009643555,-0.0836585089564323,-0.0475160181522369,0.0062618083320558
1018,7401922675,1,[-56;-56;6],0.9952622652053833,-0.0842515677213669,-0.0481081753969193,0.0063469875603914
1030,7481923075,1,[-56;-56;5],0.9951826333999634,-0.0848440527915955,-0.0487011969089508,0.0064215599559247
1042,7561923475,1,[-56;-56;5],0.9951022267341614,-0.0854364782571793,-0.0492941848933697,0.0064961272291839
1054,7641923875,1,[-57;-57;5],0.9950204491615295,-0.0860341042280197,-0.0498924702405930,0.0065708826296031
1066,7721924275,1,[-57;-57;5],0.9949371814727783,-0.0866369381546974,-0.0504960529506207,0.0066458256915212
1078,7801924675,1,[-57;-57;5],0.9948531985282898,-0.0872397050261497,-0.0510996021330357,0.0067207640968263
1090,7881925075,1,[-57;-57;5],0.9947685003280640,-0.0878424048423767,-0.0517031103372574,0.0067956973798573
1102,7991925625,1,[-57;-57;5],0.9946830272674561,-0.0884450450539589,-0.0523065812885761,0.0068706255406141
1114,8071926975,1,[-57;-57;5],0.9945967793464661,-0.0890476182103157,-0.0529100112617016,0.0069455485790968
1126,8151926425,1,[-57;-57;5],0.9945098757743835,-0.0896501243114471,-0.0535134077072144,0.0070204664953053
1138,8231926825,1,[-58;-58;4],0.9944218397140503,-0.0902550444006920,-0.0541196651756763,0.0070928269997239
1150,8311927225,1,[-58;-58;4],0.9943319559097290,-0.0908673629164696,-0.0547346062958241,0.0071575255133212
1162,8391927600,1,[-58;-58;4],0.9942412972450256,-0.0914796069264412,-0.0553495064377785,0.0072222184389830
